product_1_name,product_2_id,product_2_name,size_unit_1,retailer_1,match_source,price_1,brand_1,lexical_similarity,brand_similarity,price_2,size_value_2,category,size_value_1,size_unit_2,brand_2,currency_2,currency_1,similarity,product_1_id,size_similarity,retailer_2
"20% Vitamin C Serum, Korean Serum with Hyaluronic Acid, Anti Aging Face Serums For Wrinkles & Fine Lines, Moisturizing Dark Spot Remover for Face",PRD2b7cfdfa,"Vitamin C Serum For Face, 20% Vitamin C Serum With Hyaluronic Acid For Collagen Boost, Anti-Wrinkle,Anti-Aging,Dark Circle,Sun Damage,Brighten Hydrate",,Amazon.co.uk - Amazon.co.uk-Seller,main_engine,7.99,,61.05,50.0,6.99,,Face Serum,,,Vitamin C,GBP,GBP,80.9,PRD16ccacb6,50.0,Amazon.co.uk - Amazon.co.uk-Seller
"20% Vitamin C Serum, Korean Serum with Hyaluronic Acid, Anti Aging Face Serums For Wrinkles & Fine Lines, Moisturizing Dark Spot Remover for Face",PRDdb639c8a,"Korean Skin Care 20% Vitamin C Serum,Vitamin C Moisturiser for Face,Vitamin C Brightening Serum,wrinkle serum,Anti-Aging Face Serum for Glowing Skin",,Amazon.co.uk - Amazon.co.uk-Seller,main_engine,7.99,,57.13,50.0,8.99,,Face Serum,,,Korean Skin,GBP,GBP,80.5,PRD16ccacb6,50.0,Amazon.co.uk - Amazon.co.uk-Seller
"20% Vitamin C Serum, Korean Serum with Hyaluronic Acid, Anti Aging Face Serums For Wrinkles & Fine Lines, Moisturizing Dark Spot Remover for Face",PRD73e83d02,"DR RASHEL Vitamin C Face Serum, Brightening & Anti-aging Facial Serum, Vitamin C Serum for Face with Hyaluronic Acid, Organic Vitamin C Serum for Face",,Amazon.co.uk - Amazon.co.uk-Seller,main_engine,7.99,,61.1,50.0,7.49,,Face Serum,,,DR RASHEL,GBP,GBP,79.1,PRD16ccacb6,50.0,Amazon.co.uk - Amazon.co.uk-Seller
"20% Vitamin C Serum, Korean Serum with Hyaluronic Acid, Anti Aging Face Serums For Wrinkles & Fine Lines, Moisturizing Dark Spot Remover for Face",PRDc3be8ff7,grüum Youth Restoring Skin Gel Serum Face Glow Anti aging Vitamin C Serum for Women with Hyaluronic Acid,,Amazon.co.uk - Amazon.co.uk-Seller,main_engine,7.99,,57.92,50.0,13.0,30.0,Face Serum,,ml,,GBP,GBP,77.2,PRD16ccacb6,50.0,Amazon.co.uk - Amazon.co.uk-Seller
Eco Warrior Nourishing Shampoo Bar,PRD3d2887a7,Eco Warrior Blue Shampoo Bar,,Tesco,main_engine,5.5,Eco Warrior,80.78,100.0,6.5,,Shampoo Bar,,,Eco Warrior,GBP,GBP,100.0,PRD17d42fdf,50.0,Justmylook
Eco Warrior Nourishing Shampoo Bar,PRD073ac21d,Eco Warrior Sensitive Scalp Shampoo Bar,,Tesco,main_engine,5.5,Eco Warrior,71.28,100.0,4.35,,Shampoo Bar,,,Eco Warrior,GBP,GBP,97.7,PRD17d42fdf,50.0,Waitrose & Partners
Eco Warrior Nourishing Shampoo Bar,PRDc0f51385,Eco Warrior Men's Edit Shampoo Bar,,Tesco,main_engine,5.5,Eco Warrior,68.42,100.0,5.5,,Shampoo Bar,,,Eco Warrior,GBP,GBP,94.3,PRD17d42fdf,50.0,Amazon.co.uk
Mint & Tea Tree Shampoo Bar,PRDb61b0db5,Tea Tree & Mint Shampoo Bar,,Bare Bar,main_engine,8.5,Mint,100.0,0.0,4.75,,Shampoo Bar,,,Tea Tree,GBP,GBP,74.8,PRD1800de9b,50.0,Alphy & Becs
"Nature Triangle Shampoo Bar,Control Oil & Strengthen Hair,Natural Shampoo Bar for Women & Men,2 in 1 Shampoo & Conditioner,Travel Shampoo,Cleansing",PRD0d372918,"Nature Triangle Shampoo Bar, Nature Seven Green Soap Shampoo, Natural Usman Grass Solid Shampoo Bar, Calming & Strengthens Hair for Women and Men 1pc",,Amazon.co.uk - Amazon.co.uk-Seller,main_engine,9.99,Nature Triangle,57.2,100.0,11.88,,Shampoo Bar,,,Nature Triangle,GBP,GBP,88.2,PRD1854213e,50.0,fruugo.co.uk
"Nature Triangle Shampoo Bar,Control Oil & Strengthen Hair,Natural Shampoo Bar for Women & Men,2 in 1 Shampoo & Conditioner,Travel Shampoo,Cleansing",PRD4d74acf3,"Nature Triangle Shampoo Bar,Natural Plant-Based Solid Shampoo,Nature Green Soap Shampoo,Cleansing & Nourishing Care for Healthy-Looking Hair ()",,Amazon.co.uk - Amazon.co.uk-Seller,main_engine,9.99,Nature Triangle,51.85,100.0,8.87,2.0,Shampoo Bar,,pcs,Nature Triangle,GBP,GBP,80.4,PRD1854213e,50.0,Amazon.co.uk - Amazon.co.uk-Seller
