product_id,product_name,brand_name,category_name,size_value,size_unit,price,currency,retailer_name,product_clean,brand_clean,category_clean,reason_unmatched
PRD35e141fa,Olay Super Serum 5-in-1 Benefits Hydrating Face Serum,Olay Super,Face Serum,50.0,ml,33.32,GBP,amazon.co.uk - amazon.co.uk-seller,olay super serum 5 in 1 benefits hydrating face serum,olay super,face serum,No match >= threshold
PRD62474d93,La Roche-Posay Effaclar Ultra Concentrated Serum,La Roche-Posay,Face Serum,,,32.0,GBP,boots.com,la roche posay effaclar ultra concentrated serum,la roche posay,face serum,No match >= threshold
PRDb107d700,E45 Face Hydrating Serum,E45 Face,Face Serum,30.0,ml,11.33,GBP,pharmacy2u,e45 face hydrating serum,e45 face,face serum,No match >= threshold
PRD1076b461,Wilko Simple Niacinamide Serum,Wilko Simple,Face Serum,,,10.0,GBP,tesco,wilko simple niacinamide serum,wilko simple,face serum,No match >= threshold
PRD8735fe9a,Q+A Hyaluronic Acid Facial Serum,Q+A Hyaluronic,Face Serum,,,5.56,GBP,holland & barrett,q a hyaluronic acid facial serum,q a hyaluronic,face serum,No match >= threshold
PRD5f5233db,NIVEA Luminous 630 Even Glow Serum,NIVEA Luminous,Face Serum,,,8.49,GBP,amazon.co.uk,nivea luminous 630 even glow serum,nivea luminous,face serum,No match >= threshold
PRD2ba82edf,Lancôme Génifique Ultimate Serum,Lancôme Génifique,Face Serum,,,52.5,GBP,john lewis & partners,lanc me g nifique ultimate serum,lanc me g nifique,face serum,No match >= threshold
PRDd593b7b2,Byoma Hydrating Serum,Byoma Hydrating,Face Serum,,,12.99,GBP,uk.byoma.com,byoma hydrating serum,byoma hydrating,face serum,No match >= threshold
PRDd1ca1607,Balance Active Formula Niacinamide Blemish Recovery Serum,Balance Active,Face Serum,,,24.99,GBP,amazon.co.uk - amazon.co.uk-seller,balance active formula niacinamide blemish recovery serum,balance active,face serum,No match >= threshold
PRD20def4c0,Simple Ceramide & Omega Complex Face Serum,Simple Ceramide,Face Serum,,,6.65,GBP,amazon.co.uk,simple ceramide omega complex face serum,simple ceramide,face serum,No match >= threshold
PRD1b1f0c45,Estee Lauder Advanced Night Repair Serum Synchronized Multi-Recovery Complex,Estee Lauder,Face Serum,,,52.0,GBP,john lewis & partners,estee lauder advanced night repair serum synchronized multi recovery complex,estee lauder,face serum,No match >= threshold
PRDf4b0965c,CeraVe Resurfacing Retinol Serum,CeraVe Resurfacing,Face Serum,,,15.31,GBP,amazon.co.uk,cerave resurfacing retinol serum,cerave resurfacing,face serum,No match >= threshold
PRDcd662baf,The Ordinary GF 15% Solution,The Ordinary,Face Serum,,,10.39,GBP,the ordinary,the ordinary gf 15 solution,the ordinary,face serum,No match >= threshold
PRD9c4343cd,The Ordinary Multi-Peptide + HA Serum,The Ordinary,Face Serum,,,21.56,GBP,the ordinary,the ordinary multi peptide ha serum,the ordinary,face serum,No match >= threshold
PRD7fbc6b10,The Ordinary Multi-Peptide + Copper Peptides 1% Serum,The Ordinary,Face Serum,,,22.25,GBP,the ordinary,the ordinary multi peptide copper peptides 1 serum,the ordinary,face serum,No match >= threshold
PRD015fedbc,The Ordinary Matrixyl 10% + HA,The Ordinary,Face Serum,,,10.4,GBP,boots.com,the ordinary matrixyl 10 ha,the ordinary,face serum,No match >= threshold
PRDc70837ea,The Ordinary Amino Acids + B5,The Ordinary,Face Serum,,,8.8,GBP,lookfantastic,the ordinary amino acids b5,the ordinary,face serum,No match >= threshold
PRDe4a46626,The Ordinary Niacinamide 10% + Zinc 1% Face Serum,The Ordinary,Face Serum,30.0,ml,43.92,GBP,ebay - gharisi,the ordinary niacinamide 10 zinc 1 face serum,the ordinary,face serum,No match >= threshold
PRD39d5ef2c,The Body Shop Edelweiss Daily Serum Concentrate,The Body,Face Serum,,,32.99,GBP,amazon.co.uk - amazon.co.uk-seller,the body shop edelweiss daily serum concentrate,the body,face serum,No match >= threshold
PRD13bb90a1,Garnier Brightening Serum,Garnier,Face Serum,,,9.33,GBP,boots.com,garnier brightening serum,garnier,face serum,No match >= threshold
PRDf1dd78e3,Garnier Vitamin C Brightening and Anti Dark Spot Serum Duo,Garnier,Face Serum,,,19.49,GBP,lookfantastic,garnier vitamin c brightening and anti dark spot serum duo,garnier,face serum,No match >= threshold
PRD4452b39d,nalas baby Body Butter Duo,,Body Butter,200.0,ml,14.0,GBP,boots.com,nalas baby body butter duo,none,body butter,No match >= threshold
PRD1c771653,skinnydip london Supermarket Vanilla Body Butter,,Body Butter,200.0,g,8.0,GBP,skinnydip,skinnydip london supermarket vanilla body butter,none,body butter,No match >= threshold
PRD966dcd32,debenhams Hi Butter Pink Champagne Body Butter,,Body Butter,,,28.0,GBP,boots.com,debenhams hi butter pink champagne body butter,none,body butter,No match >= threshold
PRDf9f5b6d4,Hand and Body Cream/Butter Sweet Orange,,Body Butter,250.0,g,16.5,GBP,nellie rose,hand and body cream butter sweet orange,none,body butter,No match >= threshold
PRD859ff753,perfect legs body butter - bundle 2,,Body Butter,,,22.84,GBP,eu.thisworks.com,perfect legs body butter bundle 2,none,body butter,No match >= threshold
PRD15b254f2,grüum smör Body Butter Intensive Hydration,,Body Butter,150.0,ml,6.95,GBP,beautycos.co.uk,gr um sm r body butter intensive hydration,none,body butter,No match >= threshold
PRDe3801ce9,(2-pack) Sand + Fog California Beach House Whipped Body Butter,,Body Butter,8.0,oz,34.79,GBP,ebay - bluerugstore, 2 pack sand fog california beach house whipped body butter,none,body butter,No match >= threshold
PRDad54c918,100% pure French Lavender Whipped Body Butter,,Body Butter,,,26.6,GBP,ecco-verde.co.uk,100 pure french lavender whipped body butter,none,body butter,No match >= threshold
PRDa19c3443,soap & glory Soap and Glory The Righteous Body Butter Lotion Bundled with Clean on Me,,Body Butter,,,20.99,GBP,amazon.co.uk - amazon.co.uk-seller,soap glory soap and glory the righteous body butter lotion bundled with clean on me,none,body butter,No match >= threshold
PRD1ffada33,mCaffeine Coffee Body Butter with Berries,,Body Butter,,,14.84,GBP,gosupps beauty,mcaffeine coffee body butter with berries,none,body butter,No match >= threshold
PRD40e1a459,Lu Lu's Suds Mango Coconut Shea Body Butter,Lu Lu's,Body Butter,,,13.36,GBP,ebay,lu lu s suds mango coconut shea body butter,lu lu s,body butter,No match >= threshold
PRDaabefebb,Nature Well Shea Body Butter Variety Pack,Nature Well,Body Butter,,,26.7,GBP,ebay - checkmystores,nature well shea body butter variety pack,nature well,body butter,No match >= threshold
PRD2a0760ad,Coconut Whipped Body Butter,Coconut Whipped,Body Butter,,,28.0,GBP,ecco-verde.co.uk,coconut whipped body butter,coconut whipped,body butter,No match >= threshold
PRD7c376353,Sunday Rain Mango & Coconut Body Butter - & Sealed - Free P&p,Sunday Rain,Body Butter,90.0,ml,8.99,GBP,ebay - siames_6085,sunday rain mango coconut body butter sealed free p p,sunday rain,body butter,No match >= threshold
PRD2cf048ea,Rubem Strawberry & Vanilla Body Butter,Rubem Strawberry,Body Butter,,,11.0,GBP,yayo familia,rubem strawberry vanilla body butter,rubem strawberry,body butter,No match >= threshold
PRD29a43bf0,"Plum Bodylovin' Body Butter, Vanilla Vibes For All Skin Types",Plum Bodylovin',Body Butter,200.0,g,21.16,GBP,ebay - livingessentials_23,plum bodylovin body butter vanilla vibes for all skin types,plum bodylovin ,body butter,No match >= threshold
PRD012276ed,Plum Goodness Get Non-Sticky BodyLovin' Vanilla Vibes Body Butter Mini,Plum Goodness,Body Butter,,,48.25,GBP,gosupps beauty,plum goodness get non sticky bodylovin vanilla vibes body butter mini,plum goodness,body butter,No match >= threshold
PRD31019517,Belle Jardin Body Care Perfumed Body Butter Goats Milk Vanilla,Belle Jardin,Body Butter,300.0,ml,16.99,GBP,ebay - organicwellness_uk,belle jardin body care perfumed body butter goats milk vanilla,belle jardin,body butter,No match >= threshold
PRDb8243bc7,Kanu Nature Nourishing Body Butter,Kanu Nature,Body Butter,,,13.29,GBP,ebay - ryszartomzynsk-0,kanu nature nourishing body butter,kanu nature,body butter,No match >= threshold
PRD0be37b13,SheaMoisture Raw Shea Butter Body Lotion,SheaMoisture Raw,Body Butter,,,19.95,GBP,amazon.co.uk - amazon.co.uk-seller,sheamoisture raw shea butter body lotion,sheamoisture raw,body butter,No match >= threshold
PRDfe1714ec,Delicia Drench Body Butter -no Colour In Transparent,Delicia Drench,Body Butter,75.0,ml,14.0,GBP,modesens,delicia drench body butter no colour in transparent,delicia drench,body butter,No match >= threshold
PRDdcefb3a6,Corpus No. Green Body Butter,Corpus No.,Body Butter,,,52.2,GBP,nose,corpus no green body butter,corpus no ,body butter,No match >= threshold
PRD6ab0e09d,Lalicious the Body Butter,Lalicious,Body Butter,,,31.94,GBP,eskincarestore,lalicious the body butter,lalicious,body butter,No match >= threshold
PRDa04e6d12,Soaphoria Organic Mango Butter,Soaphoria,Body Butter,,,9.52,GBP,notino.co.uk,soaphoria organic mango butter,soaphoria,body butter,No match >= threshold
PRD0c2fe40f,Champneys Natures Treat Nourishing Body Butter,Champneys Natures,Body Butter,200.0,ml,37.11,GBP,gosupps beauty,champneys natures treat nourishing body butter,champneys natures,body butter,No match >= threshold
PRD195ecc24,Life-flo Pure Mango Butter,Life-flo Pure,Body Butter,,,17.02,GBP,ebay - nutri_mart,life flo pure mango butter,life flo pure,body butter,No match >= threshold
PRD58fdd4f8,Mixa Panthenol Comfort Body Balm,Mixa Panthenol,Body Butter,,,17.99,GBP,amazon.co.uk - amazon.co.uk-seller,mixa panthenol comfort body balm,mixa panthenol,body butter,No match >= threshold
PRD97130740,Okay 100% Natural Mango Body Butter Deep Moisturizing Great Skin,Okay,Body Butter,,,9.55,GBP,ebay - haminil-0,okay 100 natural mango body butter deep moisturizing great skin,okay,body butter,No match >= threshold
PRDafe899d3,NEOM Magnesium Body Butter Great Day,NEOM Magnesium,Body Butter,,,39.0,GBP,amaranth wellbeing,neom magnesium body butter great day,neom magnesium,body butter,No match >= threshold
PRD2993c4be,Mine Botanicals Whipped Body Butter with Mango Butter,Mine Botanicals,Body Butter,8.0,oz,11.14,GBP,ebay,mine botanicals whipped body butter with mango butter,mine botanicals,body butter,No match >= threshold
PRD43b2a09f,Aromatika Refined Shea Butter Ghana 100% Natural & Pure Shea Butter for Body Care,Aromatika Refined,Body Butter,17.5,oz,8.01,GBP,amazon.co.uk - amazon.co.uk-seller,aromatika refined shea butter ghana 100 natural pure shea butter for body care,aromatika refined,body butter,No match >= threshold
