product_1_id,product_2_id,product_1_name,product_2_name,brand_1,brand_2,category,size_value_1,size_unit_1,size_value_2,size_unit_2,price_1,price_2,currency_1,currency_2,retailer_1,retailer_2,similarity,hybrid_name_similarity,lexical_similarity,semantic_similarity,brand_similarity,size_similarity,match_source,processing_date,engine_version,confidence_tier,match_rank
PRDdb039b35,PRD0d372918,"Nature Triangle Shampoo Bar, Nature Green Triangle Solide Shampoo Soap, Cleansing Nourishing Hair Strengthens Hair, for Women And Men ()","Nature Triangle Shampoo Bar, Nature Seven Green Soap Shampoo, Natural Usman Grass Solid Shampoo Bar, Calming & Strengthens Hair for Women and Men 1pc",Nature Triangle,Nature Triangle,Shampoo Bar,2.0,pcs,,,9.99,11.88,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,fruugo.co.uk,99.8,79.77,72.16,91.18,100.0,50.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,HIGH,2
PRDdb039b35,PRD1854213e,"Nature Triangle Shampoo Bar, Nature Green Triangle Solide Shampoo Soap, Cleansing Nourishing Hair Strengthens Hair, for Women And Men ()","Nature Triangle Shampoo Bar,Control Oil & Strengthen Hair,Natural Shampoo Bar for Women & Men,2 in 1 Shampoo & Conditioner,Travel Shampoo,Cleansing",Nature Triangle,Nature Triangle,Shampoo Bar,2.0,pcs,,,9.99,9.99,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,89.0,69.01,60.42,81.89,100.0,50.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,HIGH,3
PRDdb039b35,PRD89df39f4,"Nature Triangle Shampoo Bar, Nature Green Triangle Solide Shampoo Soap, Cleansing Nourishing Hair Strengthens Hair, for Women And Men ()","Nature Triangle Shampoo Bar, Natural Grass Glutinous Rice Water Solid Shampoo Bar for Hair Care & Hair Growth, Calming & Strengthens Hair, Gentle on",Nature Triangle,Nature Triangle,Shampoo Bar,2.0,pcs,,,9.99,5.28,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,83.5,63.45,53.86,77.85,100.0,50.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,MEDIUM,4
PRDdb039b35,PRDf2daad50,"Nature Triangle Shampoo Bar, Nature Green Triangle Solide Shampoo Soap, Cleansing Nourishing Hair Strengthens Hair, for Women And Men ()","2025 Nature Triangle Shampoo Bar, Nature Seven Green Soap Shampoo, Natural Usman Grass Shampoo Bar, Calming & Strengthens Hair for Women and Men",Nature Triangle,,Shampoo Bar,2.0,pcs,1.0,pcs,9.99,6.89,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,fruugo.co.uk,67.5,77.47,73.2,83.87,50.0,0.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,LOW,5
PRDdb039b35,PRDd8d93ae9,"Nature Triangle Shampoo Bar, Nature Green Triangle Solide Shampoo Soap, Cleansing Nourishing Hair Strengthens Hair, for Women And Men ()","1-3x Nature Triangle Shampoo Bar, Nature Seven Green Soap Shampoo, Natural Usman Grass Shampoo Bar, Calming & Strengthens Hair for Women and Men",Nature Triangle,,Shampoo Bar,2.0,pcs,1.0,pcs,9.99,12.95,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,fruugo.co.uk,66.8,76.83,72.16,83.83,50.0,0.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,LOW,6
PRDdb639c8a,PRD736548b6,"Korean Skin Care 20% Vitamin C Serum,Vitamin C Moisturiser for Face,Vitamin C Brightening Serum,wrinkle serum,Anti-Aging Face Serum for Glowing Skin","20% Vitamin C Serum, Korean Skin Care Serum with Hyaluronic Acid, Anti-aging Face Serum for Dry and Dull Skin, Reduce Wrinkles & Fine Lines, Fast",Korean Skin,,Face Serum,,,,,8.99,7.19,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,82.0,71.96,60.92,88.52,50.0,50.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,MEDIUM,1
PRDdb639c8a,PRDc3be8ff7,"Korean Skin Care 20% Vitamin C Serum,Vitamin C Moisturiser for Face,Vitamin C Brightening Serum,wrinkle serum,Anti-Aging Face Serum for Glowing Skin",grüum Youth Restoring Skin Gel Serum Face Glow Anti aging Vitamin C Serum for Women with Hyaluronic Acid,Korean Skin,,Face Serum,,,30.0,ml,8.99,13.0,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,71.8,61.8,51.35,77.48,50.0,50.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,MEDIUM,2
PRDdb6d7d3a,PRDfc83ef9f,Mimosu Rice Water Hair Growth Shampoo Bar,Rice Water Shampoo Bar Gentle And Effective Hair Care Solution For Hydration Cleansing And Nourishment pa14 A,Mimosu Rice,,Shampoo Bar,,,60.0,g,45.89,7.95,GBP,GBP,OnBuy.com,fruugo.co.uk,65.4,65.45,58.76,75.48,50.0,50.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,LOW,1
PRDdc65729d,PRDf1b0c5d0,Body Butter with Mango Butter – Lime,Body Butter with Mango Butter – Patchouli and Orange,Body Butter,Body Butter,Body Butter,,,,,7.99,7.99,GBP,GBP,Handmade Fever,Handmade Fever,100.0,78.86,73.88,86.34,100.0,50.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,HIGH,1
PRDdc65729d,PRD1336f64c,Body Butter with Mango Butter – Lime,"Body Butter Collection Giftset Of 3 Gold Together, Perfect Moments",Body Butter,Body Butter,Body Butter,,,3.0,g,7.99,25.84,GBP,GBP,Handmade Fever,eBay,65.1,45.14,40.89,51.52,100.0,50.0,main_engine,2025-11-18,enhanced_with_embeddings_v1,LOW,2
