product_id,product_name,brand_id,brand_name,category_id,category_name,size_value,size_unit,price,currency,date_collected,date_key,retailer_name,product_clean,brand_clean,category_clean,retailer_clean,size_value_norm,size_unit_norm,incomplete_record,reason_unmatched
PRD5efcb723,Kopari Ultra Restore Body Butter 60ml Travel Size Bnwob But Sealed,BRDe83ffaa7,Kopari Ultra Restore,CAT140eaa99,body butter,60.0,ml,9.26,GBP,20251125_201755,20251125,"{'url': 'https://www.ebay.co.uk/itm/388722245503?chn=ps&_ul=GB&mkevt=1&mkcid=28&google_free_listing_action=view_item', 'name': 'eBay'}",kopari ultra restore body butter 60ml travel size bnwob but sealed,kopari ultra restore,body butter, url https www ebay co uk itm 388722245503 chn ps ul gb mkevt 1 mkcid 28 google free listing action view item name ebay ,60.0,ml,False,No match >= 65 (enhanced)
PRD5ffcd6f3,"Soap & Glory Travel Size The Righteous Butter Body Moisturizer, 1.6 Oz",BRD8f993f13,Soap Glory,CAT140eaa99,body butter,1.6,oz,13.95,GBP,20251125_201826,20251125,"{'url': 'https://www.fruugo.co.uk/soap-glory-travel-size-the-righteous-butter-body-moisturizer-16-oz/p-103976543-219083107?language=en&ac=google&utm_source=google&utm_medium=organic', 'name': 'fruugo.co.uk'}",soap glory travel size the righteous butter body moisturizer 1 6 oz,soap glory,body butter, url https www fruugo co uk soap glory travel size the righteous butter body moisturizer 16 oz p 103976543 219083107 language en ac google utm source google utm medium organic name fruugo co uk ,1.6,oz,False,No match >= 65 (enhanced)
PRD661164f4,L'Occitane Solid Shampoo 60g,BRD4da79970,L'Occitane Solid Shampoo,CATa842003f,shampoo bar,60.0,g,8.16,GBP,20251125_200953,20251125,{'name': 'Amazon.co.uk'},l occitane solid shampoo 60g,l occitane solid shampoo,shampoo bar, name amazon co uk ,60.0,g,False,No match >= 65 (enhanced)
PRD680c5de0,skinChemists Youth Series 1.5% Hyaluronic Acid Facial Serum 30ml,BRD2ff71525,Youth Series,CATaa8afa4d,face serum,30.0,ml,22.9,GBP,20251125_201600,20251125,"{'url': 'https://drbotanicals.com/products/skinchemists-youth-series-hyaluronic-acid-facial-serum?variant=47800917098800&country=GB&currency=GBP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOopxm1UVxtoTg43Ied1VdCnR5IA-ZEI8GL2lqBmvE3EwE2gihZuhY5A', 'name': 'Dr Botanicals'}",skinchemists youth series 1 5 hyaluronic acid facial serum 30ml,youth series,face serum, url https drbotanicals com products skinchemists youth series hyaluronic acid facial serum variant 47800917098800 country gb currency gbp utm medium product sync utm source google utm content sag organic utm campaign sag organic srsltid afmboopxm1uvxtotg43ied1vdcnr5ia zei8gl2lqbmve3ewe2gihzuhy5a name dr botanicals ,30.0,ml,False,No match >= 65 (enhanced)
PRD69b0df58,The Soap Mine Lemongrass & Spearmint Solid Hair Conditioner Bar - 60g,BRDdd355fc8,The Soap Mine,CATa55d3f5b,conditioner bar,60.0,g,5.85,GBP,20251125_201251,20251125,"{'url': 'https://www.babipur.co.uk/products/soap-mine-lemongrass-spearmint-conditioner-solid-bar?variant=48509629595973&country=GB&currency=GBP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOooiSuL-1G7ypVZgqsFn_gSIQYA2mzLCIPmvIxF6dqOlLx5fvkJGXZk', 'name': 'Babi Pur'}",the soap mine lemongrass spearmint solid hair conditioner bar 60g,the soap mine,conditioner bar, url https www babipur co uk products soap mine lemongrass spearmint conditioner solid bar variant 48509629595973 country gb currency gbp utm medium product sync utm source google utm content sag organic utm campaign sag organic srsltid afmboooisul 1g7ypvzgqsfn gsiqya2mzlcipmvixf6dqollx5fvkjgxzk name babi pur ,60.0,g,False,No match >= 65 (enhanced)
PRD6a0cf8fa,Body Whipped Butter 6 Oz. Jar Birthday Cake,BRD17a33e3a,Body Whipped Butter,CAT140eaa99,body butter,6.0,oz,9.09,GBP,20251125_201814,20251125,"{'url': 'https://www.ebay.co.uk/itm/204752123507?chn=ps&_ul=GB&mkevt=1&mkcid=28&google_free_listing_action=view_item', 'name': 'eBay'}",body whipped butter 6 oz jar birthday cake,body whipped butter,body butter, url https www ebay co uk itm 204752123507 chn ps ul gb mkevt 1 mkcid 28 google free listing action view item name ebay ,6.0,oz,False,No match >= 65 (enhanced)
PRD6a210e40,Olay Super Serum 5-in-1 Benefits Hydrating Face Serum 50 ml,BRD10aba0ce,Olay Super Serum,CATaa8afa4d,face serum,50.0,ml,20.0,GBP,20251125_201450,20251125,"{'url': 'https://www.ocado.com/products/olay-super-serum/639593011?utm_source=google&utm_medium=organic_shopping&utm_campaign=organic_shopping&srsltid=AfmBOoofH_diJf-cTubWlF58NdGM7C50NVnDsViTb9Pkeebrn-9e-7TXp2k', 'name': 'Ocado'}",olay super serum 5 in 1 benefits hydrating face serum 50 ml,olay super serum,face serum, url https www ocado com products olay super serum 639593011 utm source google utm medium organic shopping utm campaign organic shopping srsltid afmbooofh dijf ctubwlf58ndgm7c50nvndsvitb9pkeebrn 9e 7txp2k name ocado ,50.0,ml,False,No match >= 65 (enhanced)
PRD6a721f7e,J.R.Liggett's Tea Tree & Hemp Oil Shampoo Bar 99g,BRDe49bb8ea,J.R.Liggett's Tea Tree,CATa842003f,shampoo bar,99.0,g,12.99,GBP,20251125_200945,20251125,"{'url': 'https://www.amazon.co.uk/J-R-Liggetts-Bar-Shampoo-Tree/dp/B00028LYO6?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A340H4GQL8YSKQ', 'name': 'Amazon.co.uk - Amazon.co.uk-Seller'}",j r liggett s tea tree hemp oil shampoo bar 99g,j r liggett s tea tree,shampoo bar, url https www amazon co uk j r liggetts bar shampoo tree dp b00028lyo6 source ps sl shoppingads lpcontext ref fplfs psc 1 smid a340h4gql8yskq name amazon co uk amazon co uk seller ,99.0,g,False,No match >= 65 (enhanced)
PRD6d188c10,Alana Vegan Natural Conditioner Bars 90g Pink Rose & Geranium Natural Conditioner Bar 90g,BRDf990174f,Alana Vegan Natural,CATa55d3f5b,conditioner bar,90.0,g,5.09,GBP,20251125_201251,20251125,"{'url': 'https://www.gaiahealthstore.co.uk/products/alana-vegan-natural-conditioner-bars?variant=42685441081602&country=GB&currency=GBP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOop_y-iCMut7t0bOFEf7-2s-5Mw7YVOsvfrX7rBSDe6V8_mDApGUnRo', 'name': 'Gaia Health Store'}",alana vegan natural conditioner bars 90g pink rose geranium natural conditioner bar 90g,alana vegan natural,conditioner bar, url https www gaiahealthstore co uk products alana vegan natural conditioner bars variant 42685441081602 country gb currency gbp utm medium product sync utm source google utm content sag organic utm campaign sag organic srsltid afmboop y icmut7t0bofef7 2s 5mw7yvosvfrx7rbsde6v8 mdapgunro name gaia health store ,180.0,g,False,No match >= 65 (enhanced)
PRD6e40c6cc,Nivea Luminous 630 Skin Glow Serum Reduce Dark Spots Skin Moist 2×30ml,BRD4f2276cb,NIVEA Luminous,CATaa8afa4d,face serum,30.0,ml,49.47,GBP,20251125_201517,20251125,"{'url': 'https://www.ebay.co.uk/itm/396709302547?chn=ps&_ul=GB&mkevt=1&mkcid=28&google_free_listing_action=view_item', 'name': 'eBay'}",nivea luminous 630 skin glow serum reduce dark spots skin moist 2 30ml,nivea luminous,face serum, url https www ebay co uk itm 396709302547 chn ps ul gb mkevt 1 mkcid 28 google free listing action view item name ebay ,30.0,ml,False,No match >= 65 (enhanced)
