product_id,product_name,brand_id,brand_name,category_id,category_name,size_value,size_unit,price,currency,date_collected,retailer_name,product_clean,brand_clean,category_clean,retailer_clean,reason_unmatched
PRDa15a678b,J.R. Liggett's Herbal Shampoo Bar,BRD927bfd3e,J.R. Liggett's,CAT4f1e3d60,Shampoo Bar,,,10.3,GBP,20251108_120340,BigGreenSmile.com,j r liggett s herbal shampoo bar,j r liggett s,shampoo bar,biggreensmile com,No match >= 70
PRD83cc251e,"Nature Triangle Shampoo Bar: Nature Seven Green Shampoo Soap, Usman Grass Bar, for Women and Mens",,,CAT4f1e3d60,Shampoo Bar,2.0,pcs,12.99,GBP,20251108_120340,Amazon.co.uk - Amazon.co.uk-Seller,nature triangle shampoo bar nature seven green shampoo soap usman grass bar for women and mens,,shampoo bar,amazon co uk amazon co uk seller,No match >= 70
PRDa2770b73,Marcel's Green Soap Shampoo Bar,BRDb9cfd4c9,Marcel's Green,CAT4f1e3d60,Shampoo Bar,,,4.99,GBP,20251108_120340,Amazon.co.uk,marcel s green soap shampoo bar,marcel s green,shampoo bar,amazon co uk,No match >= 70
PRDdd76c9c5,Rainforest Revival Shampoo Bar Subscription,BRDbe3fac9e,Rainforest Revival,CAT4f1e3d60,Shampoo Bar,,,6.95,GBP,20251108_120340,The Soap People,rainforest revival shampoo bar subscription,rainforest revival,shampoo bar,the soap people,No match >= 70
PRD6b91c54a,New Dawn UK Lavender Shampoo Bar,BRD0034d4a8,New Dawn,CAT4f1e3d60,Shampoo Bar,,,6.45,GBP,20251108_120340,New Dawn Organic Skin and Hair Care,new dawn uk lavender shampoo bar,new dawn,shampoo bar,new dawn organic skin and hair care,No match >= 70
PRDbe4a00e2,Ethique Heali Kiwi Solid Shampoo Bar,BRDa4a6260d,Ethique Heali,CAT4f1e3d60,Shampoo Bar,,,8.86,GBP,20251108_120354,eBay,ethique heali kiwi solid shampoo bar,ethique heali,shampoo bar,ebay,No match >= 70
PRDae53ed88,Building Blocks GB LTD Argan Solid Shampoo Bar Eucalyptus,BRD8f118902,Building Blocks,CAT4f1e3d60,Shampoo Bar,115.0,g,2.86,GBP,20251108_120354,Mix.co.uk,building blocks gb ltd argan solid shampoo bar eucalyptus,building blocks,shampoo bar,mix co uk,No match >= 70
PRDc2643e4f,Faith in Nature Shea & Argan Shampoo Bar,BRD29cd4600,Faith in Nature,CAT4f1e3d60,Shampoo Bar,,,5.25,GBP,20251108_120354,Natural Collection,faith in nature shea argan shampoo bar,faith in nature,shampoo bar,natural collection,No match >= 70
PRD6572e1b1,Friendly Soap - Lavender & Tea Tree Shampoo Bar - Eco Friendly,BRD6003a530,Friendly Soap,CAT4f1e3d60,Shampoo Bar,,,2.95,GBP,20251108_120354,Indespoke,friendly soap lavender tea tree shampoo bar eco friendly,friendly soap,shampoo bar,indespoke,No match >= 70
PRDbc45741b,Davines DEDE Shampoo Bar,BRD17c01d32,Davines,CAT4f1e3d60,Shampoo Bar,,,18.5,GBP,20251108_120354,Davines,davines dede shampoo bar,davines,shampoo bar,davines,No match >= 70
PRD67261e04,Kitsch Biotin Purple Toning Shampoo Bar,BRD84858b44,Kitsch,CAT4f1e3d60,Shampoo Bar,,,11.0,GBP,20251108_120354,Kitsch,kitsch biotin purple toning shampoo bar,kitsch,shampoo bar,kitsch,No match >= 70
PRD3a3d296d,Natural Shampoo Bar - Rosemary & Lavender - Wild Sage & Co,BRD0c603f99,Natural Shampoo,CAT4f1e3d60,Shampoo Bar,100.0,g,7.5,GBP,20251108_120354,Peace With The Wild,natural shampoo bar rosemary lavender wild sage co,natural shampoo,shampoo bar,peace with the wild,No match >= 70
