product_id,product_name,brand_id,category_id,size_value,size_unit,price,currency,retailer_name,product_clean,brand_clean,category_clean,reason_unmatched
PRD5cbb3d08,Handmade Solid Shampoo Bar,BRD4e7e12ed,CAT4f1e3d60,,,4.49,GBP,amazon.co.uk - amazon.co.uk-seller,handmade solid shampoo bar,brd4e7e12ed,cat4f1e3d60,No match >= threshold
PRD5cb13c22,Scottish Fine Soaps Vetiver & Sandalwood Shampoo Bar Wrapped,BRDd7296ac2,CAT4f1e3d60,100.0,g,6.99,GBP,the scottish fine soaps company,scottish fine soaps vetiver sandalwood shampoo bar wrapped,brdd7296ac2,cat4f1e3d60,No match >= threshold
PRD1800de9b,Mint & Tea Tree Shampoo Bar,BRDca8a196f,CAT4f1e3d60,,,8.5,GBP,bare bar,mint tea tree shampoo bar,brdca8a196f,cat4f1e3d60,No match >= threshold
PRD6b91c54a,New Dawn UK Lavender Shampoo Bar,BRD0034d4a8,CAT4f1e3d60,,,17.35,GBP,new dawn organic skin and hair care,new dawn uk lavender shampoo bar,brd0034d4a8,cat4f1e3d60,No match >= threshold
PRD1d4513c4,Ben & Anna Lemongrass Shampoo,BRD092f2ba9,CAT4f1e3d60,,,6.95,GBP,mypure.co.uk,ben anna lemongrass shampoo,brd092f2ba9,cat4f1e3d60,No match >= threshold
PRD56b42ec0,"Acala Camellia, Kokum and Lemon Conditioning Shampoo Bar",BRD81c6e4e0,CAT4f1e3d60,,,9.99,GBP,superdrug.com,acala camellia kokum and lemon conditioning shampoo bar,brd81c6e4e0,cat4f1e3d60,No match >= threshold
PRD543307a2,J.R. Liggett's Tea Tree & Hemp Oil Shampoo Bar,BRD927bfd3e,CAT4f1e3d60,,,8.5,GBP,john and ginger,j r liggett s tea tree hemp oil shampoo bar,brd927bfd3e,cat4f1e3d60,No match >= threshold
PRDc0f51385,Eco Warrior Men's Edit Shampoo Bar,BRDf76fce2c,CAT4f1e3d60,,,5.5,GBP,amazon.co.uk,eco warrior men s edit shampoo bar,brdf76fce2c,cat4f1e3d60,No match >= threshold
PRDb1455940,Solid Lavender Shampoo Bars,BRD7ba03416,CAT4f1e3d60,,,8.99,GBP,wild venus,solid lavender shampoo bars,brd7ba03416,cat4f1e3d60,No match >= threshold
PRDd6c90b95,"Green Tea, Peppermint & Eucalyptus Shampoo Bar",BRD8b12492c,CAT4f1e3d60,,,8.0,GBP,skinsolace.co.uk,green tea peppermint eucalyptus shampoo bar,brd8b12492c,cat4f1e3d60,No match >= threshold
PRDc1de79e7,Patchouli Shampoo Bar,BRD90505ebd,CAT4f1e3d60,,,4.75,GBP,the good soap - let's go back to the bar,patchouli shampoo bar,brd90505ebd,cat4f1e3d60,No match >= threshold
PRDf8a181a9,Dry Hair Shampoo Bar with Cocoa Butter,BRDba7edd19,CAT4f1e3d60,,,8.0,GBP,silktown soap co.,dry hair shampoo bar with cocoa butter,brdba7edd19,cat4f1e3d60,No match >= threshold
PRD3b18e103,Solid Shampoo Bars for Hair,BRD0630498e,CAT4f1e3d60,,,8.95,GBP,amazon.co.uk - amazon.co.uk-seller,solid shampoo bars for hair,brd0630498e,cat4f1e3d60,No match >= threshold
PRD774a51f0,Annings Bergamot & Sandalwood Shampoo Bar,BRD7e710975,CAT4f1e3d60,,,10.0,GBP,annings of dorset,annings bergamot sandalwood shampoo bar,brd7e710975,cat4f1e3d60,No match >= threshold
PRDd6c0c142,Rituals The Ritual of Jing Shampoo & Body Bar,BRDf8e5c16f,CAT4f1e3d60,,,14.0,GBP,rituals,rituals the ritual of jing shampoo body bar,brdf8e5c16f,cat4f1e3d60,No match >= threshold
PRD6d5835f8,KinKind Clear My Head! Anti-Dandruff Shampoo Bar,BRDe9e45848,CAT4f1e3d60,,,5.45,GBP,ocado,kinkind clear my head anti dandruff shampoo bar,brde9e45848,cat4f1e3d60,No match >= threshold
PRDe1842d97,Procoal Vegan Moroccan Shampoo Bar,BRD268ae7b2,CAT4f1e3d60,,,8.09,GBP,amazon.co.uk - amazon.co.uk-seller,procoal vegan moroccan shampoo bar,brd268ae7b2,cat4f1e3d60,No match >= threshold
PRD0c1a388a,Shampoo Bar Cyril's Soap Shed,BRD4f1e3d60,CAT4f1e3d60,10.0,pack,38.0,GBP,cyrils soap shed,shampoo bar cyril s soap shed,brd4f1e3d60,cat4f1e3d60,No match >= threshold
PRD69f2e196,Scottish Fine Soaps Thistle & Black Pepper Shampoo Bar,BRDd7296ac2,CAT4f1e3d60,,,6.99,GBP,the scottish fine soaps company,scottish fine soaps thistle black pepper shampoo bar,brdd7296ac2,cat4f1e3d60,No match >= threshold
PRDb7ef7897,Vegan Shampoo Bar Travel Tin,BRD43831a47,CAT4f1e3d60,,,2.0,GBP,sintranaturals,vegan shampoo bar travel tin,brd43831a47,cat4f1e3d60,No match >= threshold
PRD91ed722f,FOAmie Coconut Shampoo Bar,BRDc1ddbd9a,CAT4f1e3d60,,,3.98,GBP,amazon.co.uk - amazon.co.uk-seller,foamie coconut shampoo bar,brdc1ddbd9a,cat4f1e3d60,No match >= threshold
PRD41cac8eb,Dr Organic Aloe Vera & Shea Shampoo & Conditioner Bar,BRDf78117d6,CAT4f1e3d60,,,4.99,GBP,amazon.co.uk,dr organic aloe vera shea shampoo conditioner bar,brdf78117d6,cat4f1e3d60,No match >= threshold
PRDa52c4b6e,FFS Beauty Undo & Renew Eco Solid Shampoo Bar,BRD8ad6b83a,CAT4f1e3d60,,,3.95,GBP,amazon.co.uk - amazon.co.uk-seller,ffs beauty undo renew eco solid shampoo bar,brd8ad6b83a,cat4f1e3d60,No match >= threshold
