product_1_id,product_2_id,product_1_name,product_2_name,brand_1,brand_2,category,size_value_1,size_unit_1,size_value_2,size_unit_2,price_1,price_2,currency_1,currency_2,retailer_1,retailer_2,similarity,name_similarity,brand_similarity,size_similarity
PRDa19c3443,PRDe4842ed8,soap & glory Soap and Glory The Righteous Body Butter Lotion Bundled with Clean on Me,Soap & Glory Original The Righteous Butter Body Lotion,,Soap,Body Butter,,,,,20.99,3.66,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,eBay,74.3,74.32,50.0,50.0
PRDa19c3443,PRDeff54c48,soap & glory Soap and Glory The Righteous Body Butter Lotion Bundled with Clean on Me,Soap and Glory The Righteous Body Butter,,Soap,Body Butter,,,,,20.99,9.99,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Boots.com,81.5,81.54,50.0,50.0
PRDa19c3443,PRDf4402683,soap & glory Soap and Glory The Righteous Body Butter Lotion Bundled with Clean on Me,Soap & Glory Body Butter The Righteous Butter,,Soap,Body Butter,,,,,20.99,7.49,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Boots.com,78.5,78.46,50.0,50.0
PRDa2063a8c,PRDa783e838,Soap & And Glory The Righteous Body Butter,Soap & Glory Limited Edition Fresh As Fig Body Butter,Soap,Soap,Body Butter,600.0,ml,,,20.39,5.99,GBP,GBP,eBay - zorilus7,Boots.com,76.8,56.85,100.0,50.0
PRDa700eca3,PRDf2b13eb3,I Love Cosmetics Body Butter Mango & Papaya,I Love Coconut & Cream Body Butter,I Love,I Love,Body Butter,,,,,5.99,2.49,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Wilko,81.0,60.98,100.0,50.0
PRDa700eca3,PRDfd3ca522,I Love Cosmetics Body Butter Mango & Papaya,I Love Cosmetics Women's English Rose Body Butter,I Love,I Love,Body Butter,,,,,5.99,7.99,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,86.9,66.88,100.0,50.0
PRDa783e838,PRDd4a6232d,Soap & Glory Limited Edition Fresh As Fig Body Butter,Soap & Glory The Righteous Butter Body Butter,Soap,Soap,Body Butter,,,,,5.99,7.49,GBP,GBP,Boots.com,Boots.com,80.1,60.06,100.0,50.0
PRDa783e838,PRDd4a6232d,Soap & Glory Limited Edition Fresh As Fig Body Butter,Soap & Glory The Righteous Butter Body Butter,Soap,Soap,Body Butter,,,,,5.99,49.85,GBP,GBP,Boots.com,eBay - jadashats-us,80.1,60.06,100.0,50.0
PRDa783e838,PRDe4842ed8,Soap & Glory Limited Edition Fresh As Fig Body Butter,Soap & Glory Original The Righteous Butter Body Lotion,Soap,Soap,Body Butter,,,,,5.99,3.66,GBP,GBP,Boots.com,eBay,75.4,55.41,100.0,50.0
PRDa783e838,PRDeff54c48,Soap & Glory Limited Edition Fresh As Fig Body Butter,Soap and Glory The Righteous Body Butter,Soap,Soap,Body Butter,,,,,5.99,9.99,GBP,GBP,Boots.com,Boots.com,76.8,56.85,100.0,50.0
PRDa783e838,PRDf4402683,Soap & Glory Limited Edition Fresh As Fig Body Butter,Soap & Glory Body Butter The Righteous Butter,Soap,Soap,Body Butter,,,,,5.99,7.49,GBP,GBP,Boots.com,Boots.com,80.1,60.06,100.0,50.0
PRDad80f5ee,PRDd4a6232d,Soap & Glory Limited Edition Body Butter Cherry Wild,Soap & Glory The Righteous Butter Body Butter,Soap,Soap,Body Butter,200.0,ml,,,5.99,7.49,GBP,GBP,Boots.com,Boots.com,81.5,61.52,100.0,50.0
PRDad80f5ee,PRDd4a6232d,Soap & Glory Limited Edition Body Butter Cherry Wild,Soap & Glory The Righteous Butter Body Butter,Soap,Soap,Body Butter,200.0,ml,,,5.99,49.85,GBP,GBP,Boots.com,eBay - jadashats-us,81.5,61.52,100.0,50.0
PRDad80f5ee,PRDe4842ed8,Soap & Glory Limited Edition Body Butter Cherry Wild,Soap & Glory Original The Righteous Butter Body Lotion,Soap,Soap,Body Butter,200.0,ml,,,5.99,3.66,GBP,GBP,Boots.com,eBay,72.2,52.16,100.0,50.0
PRDad80f5ee,PRDeff54c48,Soap & Glory Limited Edition Body Butter Cherry Wild,Soap and Glory The Righteous Body Butter,Soap,Soap,Body Butter,200.0,ml,,,5.99,9.99,GBP,GBP,Boots.com,Boots.com,77.1,57.13,100.0,50.0
PRDad80f5ee,PRDf4402683,Soap & Glory Limited Edition Body Butter Cherry Wild,Soap & Glory Body Butter The Righteous Butter,Soap,Soap,Body Butter,200.0,ml,,,5.99,7.49,GBP,GBP,Boots.com,Boots.com,81.5,61.52,100.0,50.0
PRDe1b4ac16,PRDfb8bacb6,Derma V10 Cocoa Body Butter,Derma V10 Body Butter Moisturising Cream Vegan Friendly (Coconut),Derma V10,Derma V10,Body Butter,,,4.0,pack,1.49,8.1,GBP,GBP,Wilko,Amazon.co.uk - Amazon.co.uk-Seller,88.5,68.5,100.0,50.0
PRDf098e420,PRDf1b0c5d0,Body Butter For Dry Skin Mango (body Butter),Body Butter with Mango Butter – Patchouli and Orange,Body Butter,Body Butter,Body Butter,50.0,ml,,,24.91,7.99,GBP,GBP,eBay - onebioshopcom,Handmade Fever,85.4,55.4,100.0,50.0
PRDf2b13eb3,PRDfd3ca522,I Love Coconut & Cream Body Butter,I Love Cosmetics Women's English Rose Body Butter,I Love,I Love,Body Butter,,,,,2.49,7.99,GBP,GBP,Wilko,Amazon.co.uk - Amazon.co.uk-Seller,77.7,57.75,100.0,50.0
PRD03dcabb3,PRDca4b0565,Nourishing Conditioner Bar,alott - nourishing conditioner bar | Glow Organic,Nourishing Conditioner,,Conditioner Bar,,,,,7.0,16.0,GBP,GBP,Marigold Charms,Glow Organic,80.0,80.0,50.0,50.0
PRD05a78c1c,PRD4f126442,(bulkx6) Anihana Conditioner Bar Manuka Honey & Vanilla -all Hair,(bulkx6) Anihana Conditioner Bar Lavender & Lemon -oily And Fine,,,Conditioner Bar,60.0,g,60.0,g,114.93,114.93,GBP,GBP,eBay,eBay,74.8,54.79,50.0,100.0
PRD05a78c1c,PRDb526dedc,(bulkx6) Anihana Conditioner Bar Manuka Honey & Vanilla -all Hair,Shampoobars Conditioner Bar,,Shampoobars Conditioner,Conditioner Bar,60.0,g,60.0,g,114.93,7.43,GBP,GBP,eBay,Salontotal.co.uk,70.9,50.86,50.0,100.0
