product_1_id,product_2_id,product_1_name,product_2_name,brand_1,brand_2,category,size_value_1,size_unit_1,size_value_2,size_unit_2,price_1,price_2,currency_1,currency_2,retailer_1,retailer_2,similarity,name_similarity,brand_similarity,size_similarity
PRDf2b13eb3,PRDa700eca3,I Love Coconut & Cream Body Butter,I Love Cosmetics Body Butter Mango & Papaya,I Love,I Love,Body Butter,,,,,2.49,5.99,GBP,GBP,Wilko,Amazon.co.uk - Amazon.co.uk-Seller,81.0,60.98,100.0,50.0
PRD0ac1e5bb,PRD7afe8a16,Tree Hut Whipped Body Butter Vanilla,Tree Hut Coco Colada Whipped Body Butter,Tree Hut,Tree Hut,Body Butter,,,,,11.99,11.99,GBP,GBP,Boots.com,Boots.com,97.5,77.5,100.0,50.0
PRD0ac1e5bb,PRD8fe440bd,Tree Hut Whipped Body Butter Vanilla,Tree Hut Tropic Glow Whipped Body Butter,Tree Hut,Tree Hut,Body Butter,,,,,11.99,11.99,GBP,GBP,Boots.com,Boots.com,97.5,77.5,100.0,50.0
PRD0ac1e5bb,PRD4a89a3ef,Tree Hut Whipped Body Butter Vanilla,Tree Hut Moroccan Rose Whipped Body Butter,Tree Hut,Tree Hut,Body Butter,,,,,11.99,15.99,GBP,GBP,Boots.com,Boots.com,97.5,77.5,100.0,50.0
PRD0ac1e5bb,PRD3e158b60,Tree Hut Whipped Body Butter Vanilla,Tree Hut Whipped Body Butter,Tree Hut,Tree Hut,Body Butter,,,,,11.99,15.99,GBP,GBP,Boots.com,Holland & Barrett,100.0,93.33,100.0,50.0
PRD0ac1e5bb,PRD3b9ce914,Tree Hut Whipped Body Butter Vanilla,Tree Hut Tropic Glow Firming Whipped Body Butter,Tree Hut,Tree Hut,Body Butter,,,,,11.99,15.99,GBP,GBP,Boots.com,Holland & Barrett,94.7,74.72,100.0,50.0
PRDaadde9dc,PRDaadde9dc,Treaclemoon Our Glorious Body Butters,Treaclemoon Our Glorious Body Butters,Treaclemoon Our,Treaclemoon Our,Body Butter,,,,,6.56,9.5,GBP,GBP,Notino.co.uk,Boots.com,100.0,100.0,100.0,50.0
PRDab6f59b8,PRD07b14a1b,Palmer's Cocoa Butter Formula,Palmer's Cocoa Butter Formula Body Lotion,Palmer's Cocoa,Palmer's Cocoa,Body Butter,,,,,4.3,6.0,GBP,GBP,Tesco,Tesco,100.0,88.57,100.0,50.0
PRDab6f59b8,PRD30f1d99b,Palmer's Cocoa Butter Formula,Palmer's Cocoa Butter Formula Tummy Butter For Stretch Marks,Palmer's Cocoa,Palmer's Cocoa,Body Butter,,,,,4.3,6.99,GBP,GBP,Tesco,spotofglam.co.uk,100.0,82.22,100.0,50.0
PRDab6f59b8,PRD8ddeb742,Palmer's Cocoa Butter Formula,Palmer's Cocoa Butter Formula Lotion,Palmer's Cocoa,Palmer's Cocoa,Body Butter,,,,,4.3,4.49,GBP,GBP,Tesco,Boots.com,100.0,93.33,100.0,50.0
