product_1_id,product_2_id,product_1_name,product_2_name,brand_1,brand_2,category,size_value_1,size_unit_1,size_value_2,size_unit_2,price_1,price_2,currency_1,currency_2,retailer_1,retailer_2,similarity,name_similarity,brand_similarity,size_similarity,valid_match
PRD24f16863,PRD8e54123b,Friendly Soap Conditioner Bar Peppermint & Eucalyptus,Conditioner Bar - - Peppermint & Eucalyptus | Friendly Soap,Friendly Soap,Friendly Soap,Conditioner Bar,,,12.0,pack,8.99,91.7,GBP,GBP,REGN,Friendly Soap,100.0,100.0,100.0,50.0,True
PRD253e76e4,PRD9d164e19,The Soap Mine Solid Conditioner Bar - Lavender & Orange,The Soap Mine Solid Conditioner Bar,The Soap,The Soap,Conditioner Bar,,,,,5.85,6.5,GBP,GBP,Babi Pur,Eco Bee,100.0,90.0,100.0,50.0,True
PRD262fb52b,PRDd65f77fd,Beautypie Niacinamide Serum,Niacinamide Serum,Beautypie Niacinamide,Niacinamide Serum,Face Serum,,,30.0,ml,25.0,10.0,GBP,GBP,Beauty Pie,tangerins.com,71.7,86.67,0.0,50.0,True
PRD272cfb82,PRDa1005f77,Lemon Solid Conditioner Bar,Lemon Solid Conditioner - Hair & Bee Solid Conditioner Bar Conditioner bar in tin,Lemon Solid,Lemon Solid,Conditioner Bar,,,,,8.0,6.99,GBP,GBP,The Pampered Blue Bee,Bee Haven Bodycare & Gifts,100.0,80.0,100.0,50.0,True
PRD28257c33,PRD392d044d,Friendly Soap Conditioner Bar - Lavender & Tea Tree,Friendly Soap Lavender Tea Tree Conditioner Bar,Friendly Soap,Friendly Soap,Conditioner Bar,90.0,g,,,33.22,9.62,GBP,GBP,eBay - gudz_uk,Amazon.co.uk - Amazon.co.uk-Seller,100.0,100.0,100.0,50.0,True
PRD2c4133ca,PRDca4b0565,alott - nourishing conditioner bar,alott - nourishing conditioner bar | Glow Organic,,,Conditioner Bar,,,,,16.0,16.0,GBP,GBP,Jjungl,Glow Organic,86.7,86.67,50.0,50.0,True
PRD2cda1d48,PRD66686faf,Earth Rhythm Shikakai Shampoo Bar Sulphate & Paraben Free 80gm,Earth Rhythm Anti Dandruff Shampoo Bar,Earth Rhythm,Earth Rhythm,Shampoo Bar,80.0,g,,,35.63,24.56,GBP,GBP,eBay - sai-international,eBay - rbinternational,81.0,61.0,100.0,50.0,True
PRD2d08c996,PRD32fe73d4,"Pro-Aging Super Serum,2024 New Purple Pro Aging Super Serum,Hyaluronic Acid and Collagen Face Serum,Collagen Peptide Anti Wrinkle Serum,Pro Anti-Aging",5 In 1 Hyaluronic Acid Face Serum (),Pro-Aging Super,,Face Serum,,,2.0,pcs,17.52,3.5,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,71.8,61.77,50.0,50.0,True
PRD2d71f7bb,PRD9f09222c,"Nature Triangle Shampoo Bar, Deep Cleaning Shampoo Bar for Traveling, Cepress Orientalis Platycladus Her-bal Hair Strengthening Soap, Strengthens",Nature Triangle Usman Grass Shampoo Bar,Nature Triangle,Nature Triangle,Shampoo Bar,,,,,7.79,9.97,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,77.5,57.51,100.0,50.0,True
PRD2da155c7,PRDf2daad50,"Nature Usman's Thuja Leaf Shampoo Bar, Nature Triangle Shampoo Bar, Green Soap Triangle Bar, Calming & Strengthens for Women And Men Haircare Products","2025 Nature Triangle Shampoo Bar, Nature Seven Green Soap Shampoo, Natural Usman Grass Shampoo Bar, Calming & Strengthens Hair for Women and Men",Nature Usman's,,Shampoo Bar,,,1.0,pcs,13.99,6.89,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,fruugo.co.uk,73.3,73.33,50.0,50.0,True
PRD30a3b49a,PRD47ea1152,Soap & Glory MAGNIFI-COCO Body Butter,Soap & Glory Berry & Bright Body Butter,Soap,Soap,Body Butter,,,200.0,ml,7.49,6.0,GBP,GBP,Boots.com,Boots.com,86.3,66.32,100.0,50.0,True
PRD30aa3e75,PRDaabefebb,NATURE WELL Shea Body Butter Variety Pack Includes Grapefruit,Nature Well Shea Body Butter Variety Pack,NATURE WELL,Nature Well,Body Butter,,,,,26.7,26.7,GBP,GBP,eBay - checkmystores,eBay - checkmystores,100.0,91.11,100.0,50.0,True
PRD30f1d99b,PRDab6f59b8,Palmer's Cocoa Butter Formula Tummy Butter For Stretch Marks,Palmer's Cocoa Butter Formula,Palmer's Cocoa,Palmer's Cocoa,Body Butter,,,,,6.99,4.3,GBP,GBP,spotofglam.co.uk,Tesco,100.0,82.22,100.0,50.0,True
PRD32fe73d4,PRD5f97ad56,5 In 1 Hyaluronic Acid Face Serum (),Turmeric Face Serum - Dark Spot Remover For Face- Serum Face For Healthy And Plump Skin - Hyaluronic Acid Serum For Soothing & Hydrating - Face Serum,,Turmeric Face,Face Serum,2.0,pcs,,,3.5,5.99,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,71.8,61.77,50.0,50.0,True
PRD337887dc,PRDa007b882,Mango Butter Refined / Resealable Pouch,Mango Butter Refined,Mango Butter,Mango Butter,Body Butter,25.0,g,,,3.19,12.99,GBP,GBP,TheSoapery,Naissance UK,100.0,84.0,100.0,50.0,True
PRD383ec9db,PRDa31876c5,"Hair Shampoo Bar, Anti Hair Loss Soap,anti-hair Loss Rice Shampoo Bar,solid Shampoo, Organic Herbal Solid Soap Hair, Hair Loss Anti Dandruff,shampoo B",Hair Shampoo Bar Soap Organic Ecofriendly Anti Dandruff For Growth,Hair Shampoo,Hair Shampoo,Shampoo Bar,,,85.0,g,11.99,6.36,GBP,GBP,fruugo.co.uk,eBay - sitedv88,96.0,66.01,100.0,50.0,True
PRD3873f52e,PRDe86336bb,Garnier Ultimate Blends Shampoo Bar Ginger Recovery,Garnier Ultimate Blends Coconut Hydrating Shampoo Bar with Aloe Vera for Normal Hair,Garnier,Garnier,Shampoo Bar,60.0,g,60.0,g,5.25,4.0,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Boots.com,100.0,62.17,100.0,100.0,True
PRD392d044d,PRD99303b82,Friendly Soap Lavender Tea Tree Conditioner Bar,Conditioner Bar - - Lavender & Geranium | Friendly Soap,Friendly Soap,Friendly Soap,Conditioner Bar,,,12.0,pack,9.62,91.7,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Friendly Soap,98.6,78.65,100.0,50.0,True
PRD39a03679,PRDe35a5fb3,ethique Shampoo Bar for Fine,ethique Smoothing Shampoo Bar for Frizzy Hair 10 Uses,,,Shampoo Bar,,,,,3.0,3.0,GBP,GBP,Ethique GB,Ethique GB,70.1,70.12,50.0,50.0,True
PRD3ac1f6ed,PRD83f84d5b,Garnier Ultimate Blends Argan & Camellia Shampoo Bar,Garnier Ultimate Blends Delicate Oat Softening Shampoo Bar,Garnier,Garnier,Shampoo Bar,,,,,4.47,4.0,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Tesco,89.4,69.41,100.0,50.0,True
PRD3b9ce914,PRD3e158b60,Tree Hut Tropic Glow Firming Whipped Body Butter,Tree Hut Whipped Body Butter,Tree Hut,Tree Hut,Body Butter,,,,,15.99,15.99,GBP,GBP,Holland & Barrett,Holland & Barrett,100.0,85.0,100.0,50.0,True
PRD3c74a68f,PRDa6d024a6,Lavender and Rosemary Conditioner Bar,"Lavender and Lime , Solid Conditioner, Zero Waste, Hair conditioner, Self Care, Eco, Vegan Products, Plastic Free, long lasting Travel bar",Lavender,Lavender,Conditioner Bar,,,5.0,g,5.98,1.5,GBP,GBP,Clearstone,The Natural Spa Cosmetics,79.7,59.69,100.0,50.0,True
PRD3d2887a7,PRDc39c546e,Eco Warrior Blue Shampoo Bar,Eco Warrior Dry Hair Shampoo Bar,Eco Warrior,Eco Warrior,Shampoo Bar,,,,,6.5,5.5,GBP,GBP,Justmylook,Tesco,97.0,76.97,100.0,50.0,True
PRD3e158b60,PRD4a89a3ef,Tree Hut Whipped Body Butter,Tree Hut Moroccan Rose Whipped Body Butter,Tree Hut,Tree Hut,Body Butter,,,,,15.99,15.99,GBP,GBP,Holland & Barrett,Boots.com,100.0,88.57,100.0,50.0,True
PRD3ea36cb3,PRD942b49b3,"PDRN Pink Peptide Serum- Korean Skincare PDRN Serum,Dark Spot Remover,Niacinamide Face Serum for Dark Spots & Barrier Repair,Hydrating,Moisturizing","PDRN Pink Peptide Serum With SPF30–Korean Skincare for Wrinkles&Hydration,Niacinamide Face Serum,Dark Spot Corrector&Barrier Repair,Hyperpigmentation",PDRN Pink,PDRN Pink,Face Serum,,,,,8.99,9.39,GBP,GBP,Amazon.co.uk - Amazon.co.uk-Seller,Amazon.co.uk - Amazon.co.uk-Seller,100.0,71.88,100.0,50.0,True
PRD3ee5456d,PRDcf6f224f,Ethique Solid Conditioner Bar Kookabara,Ethique Solid Conditioner Bar in The Buff - Unscented,Ethique Solid,Ethique Solid,Conditioner Bar,,,60.0,g,12.24,13.0,GBP,GBP,Sassy Organics,Amazon.co.uk - Amazon.co.uk-Seller,89.0,68.95,100.0,50.0,True
PRD431f8794,PRD591db5d1,pure anada Soothing Natural Conditioner Bar,Natural Conditioner Bar,,Natural Conditioner,Conditioner Bar,,,,,23.5,8.0,GBP,GBP,Live in the Light,Wriggly Tin Soap Co.,80.0,80.0,50.0,50.0,True
