retailer_id,source_id,retailer_name
RET019e6996,SRC00000001,"{'url': 'https://www.albiva.com/products/ecm-advanced-repair-brightening-serum-refill?variant=43020544311465&country=GB&currency=GBP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoq5UxXDTbRFrTJ37XpAkMj0YR_saQcgg-8Z6EqbwOWvsEjc6EcPVqU', 'name': 'Albiva'}"
RET01dd13bc,SRC00000001,"{'url': 'https://kinkind.co.uk/products/fragrance-free-conditioner-bar-sensitive-skin-allergies?variant=35991694803110&country=GB&currency=GBP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOopFSGgnWTzmApt25mY4yTgzQEDa858MGe8JYRiSaOTnFfTYJFH9r6k', 'name': 'KinKind'}"
RET01f9c5b1,SRC00000001,"{'url': 'https://neomwellbeing.com/products/great-day-magnesium-body-butter?srsltid=AfmBOorVkAnvHrTnQEgcZ3o1m6BHlo_zfoy2EU23cv5O00j2rZfq1HRNouk', 'name': 'NEOM Wellbeing UK'}"
RET02082199,SRC00000001,"{'url': 'https://hairyjaynehandmade.co.uk/products/citrus-conditioner-bar-naked?variant=53580191891829&country=GB&currency=GBP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoqWSWQ7njMuZWCI2CLZd5j_XCb-wznUl3gCfjUTC163xMYQYWVqyDI', 'name': 'Hairy Jayne'}"
RET021c6c84,SRC00000001,"{'url': 'https://www.ebay.co.uk/itm/397230604338?chn=ps&_ul=GB&mkevt=1&mkcid=28&google_free_listing_action=view_item', 'name': 'eBay - safuron'}"
RET021e79d4,SRC00000001,"{'url': 'https://global.oliveyoung.com/product/detail?prdtNo=GA210003965&accParam=170&srsltid=AfmBOooejBMhng1uJ--UVJZq78X_dEAJ7Sa8pN57j0OHNeEuUJKP2EsTFCM', 'name': 'Olive Young Global'}"
RET0229c4a1,SRC00000001,"{'url': 'https://www.fruugo.co.uk/rosemary-biotin-conditioner-bar-for-thinning-hair-volume-conditioner-bar-for-strengthening-hair-roots-hair-thickening-nourishing-and-hydrating/p-400363814-851978414?language=en&ac=google&utm_source=organic_shopping&utm_medium=organic', 'name': 'fruugo.co.uk'}"
RET022fd2dc,SRC00000001,"{'url': 'https://thecotswoldecocompany.co.uk/products/handmade-natural-conditioner-bar-peppermint-eucalyptus?variant=41807156150350&country=GB&currency=GBP&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoqbjYODKqUucGe8HIyXSbZahbtgkQxhsOjkZxFZfC9PyGF5JQ-Hp0M', 'name': 'www.thecotswoldecocompany.co.uk'}"
RET0243f496,SRC00000001,"{'url': 'https://www.sainsburys.co.uk/shop/gb/groceries/product/details/qa-hyaluronic-acid-facial-serum-30ml?utm_source=google&utm_medium=free_listing&utm_campaign=merchant_center&deeplink=true', 'name': 'sainsburys.co.uk'}"
RET0250d28f,SRC00000001,"{'url': 'https://fabdiscounts.co.uk/products/natural-shampoo-bar-autumn-berries?variant=49335491330375&currency=GBP&srsltid=AfmBOopFFjIYNAhNCckxm-r7yFzQZXRrFlWhA0M0JB3v_K8Oxc-nmZZScRE', 'name': 'Fab Discounts'}"
